center_x,center_y,width,height
0.19593068957328796,0.25243327394127846,0.14590924978256226,0.2549683377146721
0.19540807604789734,0.2528389021754265,0.1461695432662964,0.26234985888004303
0.1945723481476307,0.2518559768795967,0.14702817052602765,0.26324664056301117
0.19496216252446175,0.25157519429922104,0.14769407361745834,0.2622991353273392
0.1942133419215679,0.2512045353651047,0.1481449380517006,0.2628141939640045
0.1935260370373726,0.25068802386522293,0.1483747810125351,0.26431845128536224
0.1930161789059639,0.25176359713077545,0.14925096929073334,0.26417621970176697
0.1939241476356983,0.2515470087528229,0.14907028526067734,0.2635330557823181
0.1941480152308941,0.2517721503973007,0.14847276359796524,0.2636122405529022
0.19039786979556084,0.2505165711045265,0.1513805165886879,0.26559673249721527
0.19036145880818364,0.25250888615846634,0.1540095433592796,0.2713618725538254
0.1856061778962612,0.24954136461019516,0.158106692135334,0.26893533766269684
