center_x,center_y,width,height
0.31177400052547455,0.2073686718940735,0.0779217779636383,0.11733967065811154
0.30752989649772644,0.2058413177728653,0.07983529567718504,0.1102056801319122
0.2667089030146599,0.2061992511153221,0.0719519406557083,0.11083163321018215
0.1996462568640709,0.21925866603851316,0.0693121999502182,0.11230909824371335
0.14609141647815704,0.23753215372562406,0.0787287652492523,0.1209428608417511
0.1673578843474388,0.2735956162214279,0.0726865381002426,0.108182817697525
0.21874956786632535,0.32315289974212646,0.0771510303020477,0.1022028923034668
0.23111500591039655,0.3706367015838623,0.0798991471529007,0.102089524269104
0.15185626596212384,0.38896504044532776,0.07365383207798,0.083817183971405
0.0979120936244726,0.3963550627231598,0.09460433200001715,0.10977178812026975
0.0987483654171228,0.3996504992246628,0.09474752470850945,0.11109158396720885
0.09875014051795004,0.40218934416770935,0.09458083659410475,0.1119771599769592
