center_x,center_y,width,height
0.18106714636087415,0.1474315449595451,0.0551444441080093,0.1427921801805496
0.18005692213773725,0.1455811783671379,0.0550749450922012,0.1459103375673294
0.17003025859594345,0.1539274416863918,0.05717276036739345,0.15283987671136856
0.1413390301167965,0.21206910908222196,0.08049211651086804,0.15799447894096375
0.15145912021398544,0.3151242285966873,0.08933641016483305,0.1050494015216827
0.2048751413822174,0.35821762681007385,0.0634997487068176,0.11987435817718504
0.24683207273483276,0.36371445655822754,0.0807541012763977,0.13080453872680664
0.28988809883594513,0.32404284179210663,0.084329217672348,0.1245157420635223
0.28449344635009766,0.2772396504878998,0.08991068601608275,0.14001911878585815
0.29242825508117676,0.26939038932323456,0.0919975638389587,0.15491768717765805
0.29492032527923584,0.27521444112062454,0.09451591968536376,0.15246950089931485
0.2899167314171791,0.27459046244621277,0.09340034425258635,0.14920711517333984
